Input-X
Input-Y
Input-W1
Input-b1
Input-W2
Input-b2
Linear-l1
Sigmoid-s1
Linear-l2
MSE-cost
Total number of examples: 506
Epoch 424, Loss: 4.88051121952903
Epoch 425, Loss: 5.9137246354086574
Epoch 426, Loss: 4.774239390012307
Epoch 427, Loss: 5.080233232071222
Epoch 428, Loss: 5.912817215051588
Epoch 429, Loss: 5.0070991902601785
Epoch 430, Loss: 4.90926862570222
Epoch 431, Loss: 6.336254391697141
Epoch 432, Loss: 5.478093200370226
Epoch 433, Loss: 5.301827271179259
Epoch 434, Loss: 5.383896241344943
Epoch 435, Loss: 4.310605732539081
Epoch 436, Loss: 4.860102138494063
Epoch 437, Loss: 4.921126280526534
Epoch 438, Loss: 4.66755206406211
Epoch 439, Loss: 5.707444441936746
Epoch 440, Loss: 4.676046463193518
Epoch 441, Loss: 4.922749668350295
Epoch 442, Loss: 4.5093885964848655
Epoch 443, Loss: 7.2804104447141516
Epoch 444, Loss: 5.266422071071978
Epoch 445, Loss: 6.040510261999852
Epoch 446, Loss: 5.808522589225159
Epoch 447, Loss: 5.308331214279333
Epoch 448, Loss: 5.838813072539591
Epoch 449, Loss: 4.468260306862642
Epoch 450, Loss: 5.204111112268059
Epoch 451, Loss: 5.752777715098264
Epoch 452, Loss: 5.663139344413905
Epoch 453, Loss: 5.79527816812721
Epoch 454, Loss: 5.397878586290019
Epoch 455, Loss: 5.139878967294505
Epoch 456, Loss: 5.864896851234445
Epoch 457, Loss: 4.750732092249216
Epoch 458, Loss: 5.069699302420062
Epoch 459, Loss: 5.017593834533943
Epoch 460, Loss: 4.743386019387627
Epoch 461, Loss: 5.697117245499075
Epoch 462, Loss: 5.785508595290404
Epoch 463, Loss: 5.6343654516391535
Epoch 464, Loss: 4.012375260609702
Epoch 465, Loss: 5.821497602049464
Epoch 466, Loss: 5.704712927983121
Epoch 467, Loss: 5.640410886084054
Epoch 468, Loss: 5.749237975738527
Epoch 469, Loss: 5.507607783916903
Epoch 470, Loss: 5.207769625876274
Epoch 471, Loss: 5.775446625873754
Epoch 472, Loss: 4.6107677871795
Epoch 473, Loss: 4.516560029956847
Epoch 474, Loss: 5.2167844710802385
Epoch 475, Loss: 5.0072099692443635
Epoch 476, Loss: 5.625414756191777
Epoch 477, Loss: 4.815758843505799
Epoch 478, Loss: 5.23073902281205
Epoch 479, Loss: 5.610768151597719
Epoch 480, Loss: 5.199547940840411
Epoch 481, Loss: 5.6918118059704
Epoch 482, Loss: 4.740213028603093
Epoch 483, Loss: 5.632762782288559
Epoch 484, Loss: 5.8138718190875975
Epoch 485, Loss: 5.090190140504011
Epoch 486, Loss: 4.313608994401851
Epoch 487, Loss: 6.331798244872075
Epoch 488, Loss: 5.375028945022965
Epoch 489, Loss: 4.718396580457751
Epoch 490, Loss: 6.049490309690675
Epoch 491, Loss: 4.932144228385943
Epoch 492, Loss: 4.8273737741630605
Epoch 493, Loss: 5.624427456613752
Epoch 494, Loss: 4.525503158955432
Epoch 495, Loss: 5.082920649196669
Epoch 496, Loss: 6.030455756979556
Epoch 497, Loss: 5.568620331523577
Epoch 498, Loss: 4.826438751476792
Epoch 499, Loss: 4.256427860100483
Epoch 500, Loss: 4.8642440072582955
Epoch 501, Loss: 5.788051665942326
Epoch 502, Loss: 5.185679388231569
Epoch 503, Loss: 4.5045966706522576
Epoch 504, Loss: 5.599672739161229
Epoch 505, Loss: 5.725348543194503
Epoch 506, Loss: 5.253274723626922
Epoch 507, Loss: 4.467411026163992
Epoch 508, Loss: 5.543438991183209
Epoch 509, Loss: 4.984016601167061
Epoch 510, Loss: 5.273240837710888
Epoch 511, Loss: 5.369575749459145
Epoch 512, Loss: 5.579124246734649
Epoch 513, Loss: 5.355157747445468
Epoch 514, Loss: 5.4407517134767875
Epoch 515, Loss: 5.057418286313391
Epoch 516, Loss: 4.378764494346956
Epoch 517, Loss: 5.732071162798155
Epoch 518, Loss: 5.011724789709127
Epoch 519, Loss: 5.462922124901497
Epoch 520, Loss: 4.948485965791934
Epoch 521, Loss: 4.911254440024342
Epoch 522, Loss: 4.645495932079383
Epoch 523, Loss: 4.5971831760635995
Epoch 524, Loss: 4.921367687881793
Epoch 525, Loss: 5.150899821271335
Epoch 526, Loss: 5.748096160525803
Epoch 527, Loss: 4.732159486537177
Epoch 528, Loss: 4.653112293634923
Epoch 529, Loss: 5.54786915079708
Epoch 530, Loss: 5.9230140436792125
Epoch 531, Loss: 5.246133672589215
Epoch 532, Loss: 5.116917821155105
Epoch 533, Loss: 4.90881817507097
Epoch 534, Loss: 4.779002098281579
Epoch 535, Loss: 4.134663352845461
Epoch 536, Loss: 4.690651014178735
Epoch 537, Loss: 4.990962118467517
Epoch 538, Loss: 6.282315037371166
Epoch 539, Loss: 5.794139956992334
Epoch 540, Loss: 4.99206623314717
Epoch 541, Loss: 4.446970020510238
Epoch 542, Loss: 5.272769336057295
Epoch 543, Loss: 5.180087003705018
Epoch 544, Loss: 4.894438748515992
Epoch 545, Loss: 4.609658134077857
Epoch 546, Loss: 4.977296301513119
Epoch 547, Loss: 5.209547292931375
Epoch 548, Loss: 4.329023899978985
Epoch 549, Loss: 5.9817991265006425
Epoch 550, Loss: 4.454678870752683
Epoch 551, Loss: 5.314828863927939
Epoch 552, Loss: 5.12346977689574
Epoch 553, Loss: 5.075248301716851
Epoch 554, Loss: 4.231421159675442
Epoch 555, Loss: 4.525517385017867
Epoch 556, Loss: 5.458830082256645
Epoch 557, Loss: 4.9291523541674165
Epoch 558, Loss: 5.286289573843091
Epoch 559, Loss: 4.752006862029298
Epoch 560, Loss: 5.2152815226481755
Epoch 561, Loss: 5.615070622890818
Epoch 562, Loss: 5.432338259108856
Epoch 563, Loss: 5.697872089128601
Epoch 564, Loss: 4.713785917481723
Epoch 565, Loss: 4.383819255747537
Epoch 566, Loss: 5.533049228966595
Epoch 567, Loss: 4.568385758803215
Epoch 568, Loss: 4.908103820180656
Epoch 569, Loss: 4.959134452430061
Epoch 570, Loss: 5.928917721608099
Epoch 571, Loss: 4.82844617569569
Epoch 572, Loss: 4.869944381851306
Epoch 573, Loss: 5.407151597317387
Epoch 574, Loss: 4.170783771540893
Epoch 575, Loss: 5.039182032478234
Epoch 576, Loss: 5.32095436514525
Epoch 577, Loss: 4.611555216137665
Epoch 578, Loss: 5.636861616601018
Epoch 579, Loss: 4.345289475763914
Epoch 580, Loss: 5.810171526379257
Epoch 581, Loss: 5.106448418815469
Epoch 582, Loss: 5.583530353835079
Epoch 583, Loss: 5.001982482320136
Epoch 584, Loss: 4.682820634359887
Epoch 585, Loss: 4.765229828868543
Epoch 586, Loss: 5.668344571426597
Epoch 587, Loss: 5.299310737090928
Epoch 588, Loss: 4.401619083301289
Epoch 589, Loss: 5.801938377476812
Epoch 590, Loss: 5.857910927247195
Epoch 591, Loss: 5.091021095882901
Epoch 592, Loss: 5.924131807916771
Epoch 593, Loss: 4.3612050189943385
Epoch 594, Loss: 4.966811958992516
Epoch 595, Loss: 5.135059357906719
Epoch 596, Loss: 4.853236777423798
Epoch 597, Loss: 5.355643385836808
Epoch 598, Loss: 5.872886025554243
Epoch 599, Loss: 6.269531944973994
Epoch 600, Loss: 5.405569577104568
Epoch 601, Loss: 5.605401410673673
Epoch 602, Loss: 5.2676864557234655
Epoch 603, Loss: 5.588160880471291
Epoch 604, Loss: 4.996767550632363
Epoch 605, Loss: 4.342032210733411
Epoch 606, Loss: 4.062313037723371
Epoch 607, Loss: 4.864796927643642
Epoch 608, Loss: 4.990791529032513
Epoch 609, Loss: 4.442717622504442
Epoch 610, Loss: 4.473823356775544
Epoch 611, Loss: 4.1344965683620725
Epoch 612, Loss: 4.3172805799124525
Epoch 613, Loss: 5.119125321187035
Epoch 614, Loss: 4.774639442932808
Epoch 615, Loss: 5.374937371199257
Epoch 616, Loss: 5.236158450567048
Epoch 617, Loss: 4.5888757611215665
Epoch 618, Loss: 4.568832962840248
Epoch 619, Loss: 5.075236723022748
Epoch 620, Loss: 4.05163551609376
Epoch 621, Loss: 5.381654388694617
Epoch 622, Loss: 5.192522586398848
Epoch 623, Loss: 5.428513934616886
Epoch 624, Loss: 5.539488919403799
Epoch 625, Loss: 5.052778455402937
Epoch 626, Loss: 4.941802554674262
Epoch 627, Loss: 5.391937874442901
Epoch 628, Loss: 4.911150135722407
Epoch 629, Loss: 5.6131307867988935
Epoch 630, Loss: 4.207089526455791
Epoch 631, Loss: 4.807508395788031
Epoch 632, Loss: 5.889676663255728
Epoch 633, Loss: 4.653126312885685
Epoch 634, Loss: 5.808654019647979
Epoch 635, Loss: 5.474774765746392
Epoch 636, Loss: 4.010652275752832
Epoch 637, Loss: 4.226213952948787
Epoch 638, Loss: 5.594069442028293
Epoch 639, Loss: 4.403136516882035
Epoch 640, Loss: 4.377439939240213
Epoch 641, Loss: 4.517342902426392
Epoch 642, Loss: 4.910123624307515
Epoch 643, Loss: 5.044911766947407
Epoch 644, Loss: 5.212986575632375
Epoch 645, Loss: 5.274372062474151
Epoch 646, Loss: 6.175508472638193
Epoch 647, Loss: 4.700647344895838
Epoch 648, Loss: 5.790630554577623
Epoch 649, Loss: 4.459803924844328
Epoch 650, Loss: 5.520180210219929
Epoch 651, Loss: 4.977859450168476
Epoch 652, Loss: 5.219770126224136
Epoch 653, Loss: 5.375087176892299
Epoch 654, Loss: 5.299160701907596
Epoch 655, Loss: 4.393662707501255
Epoch 656, Loss: 4.360278644147888
Epoch 657, Loss: 4.963660351099536
Epoch 658, Loss: 5.4781930119428415
Epoch 659, Loss: 4.716331727116736
Epoch 660, Loss: 3.8885829974393897
Epoch 661, Loss: 5.76555074934597
Epoch 662, Loss: 4.380764442078853
Epoch 663, Loss: 4.891365115348896
Epoch 664, Loss: 4.357762894098394
Epoch 665, Loss: 6.193708780581171
Epoch 666, Loss: 4.904984576348541
Epoch 667, Loss: 5.073275571328205
Epoch 668, Loss: 5.579706674485271
Epoch 669, Loss: 4.975873197091335
Epoch 670, Loss: 5.41140112938449
Epoch 671, Loss: 5.500223826007612
Epoch 672, Loss: 5.055129402674584
Epoch 673, Loss: 4.220959377384852
Epoch 674, Loss: 5.568903244836546
Epoch 675, Loss: 4.85260978139788
Epoch 676, Loss: 4.686731400373592
